Number_Inserted,Time_Taken
50000, 0.013000
100000, 0.029000
150000, 0.048000
200000, 0.067000
250000, 0.081000
300000, 0.104000
350000, 0.120000
400000, 0.142000
450000, 0.157000
500000, 0.176000
550000, 0.206000
600000, 0.225000
650000, 0.241000
700000, 0.262000
750000, 0.280000
800000, 0.310000
850000, 0.327000
900000, 0.344000
950000, 0.366000
1000000, 0.385000
1050000, 0.430000
1100000, 0.446000
1150000, 0.466000
1200000, 0.487000
1250000, 0.505000
1300000, 0.521000
1350000, 0.552000
1400000, 0.570000
1450000, 0.592000
1500000, 0.609000
1550000, 0.629000
1600000, 0.672000
1650000, 0.691000
1700000, 0.707000
1750000, 0.730000
1800000, 0.750000
1850000, 0.780000
1900000, 0.797000
1950000, 0.816000
2000000, 0.841000
2050000, 0.861000
2100000, 0.937000
2150000, 0.952000
2200000, 0.972000
2250000, 0.996000
2300000, 1.015000
2350000, 1.032000
2400000, 1.062000
2450000, 1.080000
2500000, 1.104000
2550000, 1.122000
2600000, 1.142000
2650000, 1.187000
2700000, 1.207000
2750000, 1.224000
2800000, 1.249000
2850000, 1.269000
2900000, 1.301000
2950000, 1.320000
3000000, 1.337000
3050000, 1.362000
3100000, 1.383000
3150000, 1.459000
3200000, 1.476000
3250000, 1.499000
3300000, 1.521000
3350000, 1.542000
3400000, 1.559000
3450000, 1.591000
3500000, 1.617000
3550000, 1.642000
3600000, 1.660000
3650000, 1.682000
3700000, 1.731000
3750000, 1.753000
3800000, 1.772000
3850000, 1.799000
3900000, 1.825000
3950000, 1.858000
4000000, 1.878000
4050000, 1.896000
4100000, 1.924000
4150000, 1.945000
4200000, 2.090000
4250000, 2.108000
4300000, 2.128000
4350000, 2.153000
4400000, 2.174000
4450000, 2.191000
4500000, 2.223000
4550000, 2.243000
4600000, 2.268000
4650000, 2.286000
4700000, 2.308000
4750000, 2.355000
4800000, 2.373000
4850000, 2.400000
4900000, 2.419000
4950000, 2.442000
5000000, 2.473000
5050000, 2.494000
5100000, 2.510000
5150000, 2.534000
5200000, 2.554000
5250000, 2.630000
5300000, 2.645000
5350000, 2.664000
5400000, 2.687000
5450000, 2.707000
5500000, 2.725000
5550000, 2.755000
5600000, 2.776000
5650000, 2.799000
5700000, 2.818000
5750000, 2.838000
5800000, 2.884000
5850000, 2.904000
5900000, 2.928000
5950000, 2.945000
6000000, 2.966000
6050000, 2.997000
6100000, 3.018000
6150000, 3.035000
6200000, 3.060000
6250000, 3.081000
6300000, 3.221000
6350000, 3.237000
6400000, 3.256000
6450000, 3.280000
6500000, 3.300000
6550000, 3.319000
6600000, 3.350000
6650000, 3.370000
6700000, 3.395000
6750000, 3.412000
6800000, 3.432000
6850000, 3.478000
6900000, 3.498000
6950000, 3.524000
7000000, 3.542000
7050000, 3.563000
7100000, 3.593000
7150000, 3.614000
7200000, 3.633000
7250000, 3.658000
7300000, 3.679000
7350000, 3.756000
7400000, 3.774000
7450000, 3.797000
7500000, 3.823000
7550000, 3.844000
7600000, 3.863000
7650000, 3.894000
7700000, 3.913000
7750000, 3.938000
7800000, 3.959000
7850000, 3.975000
7900000, 4.021000
7950000, 4.041000
8000000, 4.066000
8050000, 4.084000
8100000, 4.104000
8150000, 4.138000
8200000, 4.162000
8250000, 4.185000
8300000, 4.234000
8350000, 4.261000
8400000, 4.554000
8450000, 4.572000
8500000, 4.597000
8550000, 4.623000
8600000, 4.648000
8650000, 4.668000
8700000, 4.703000
8750000, 4.725000
8800000, 4.751000
8850000, 4.773000
8900000, 4.792000
8950000, 4.843000
9000000, 4.863000
9050000, 4.892000
9100000, 4.911000
9150000, 4.934000
9200000, 4.968000
9250000, 4.989000
9300000, 5.008000
9350000, 5.034000
9400000, 5.056000
9450000, 5.134000
9500000, 5.152000
9550000, 5.175000
9600000, 5.200000
9650000, 5.222000
9700000, 5.255000
9750000, 5.271000
9800000, 5.294000
9850000, 5.318000
9900000, 5.341000
9950000, 5.359000
10000000, 5.407000
